Table - Inference_Full Data_data-2
Public ID,Organization,Availability,System Name (click + for details),# of Nodes,Processor,Accelerator,# of Accelerators,Benchmark,Model MLC,Scenario,Units,Valid / Invalid,Division/Power,Operating System,Software,System Type Revised,Version,Division,Division Revised,Has Power,Host Processor Core Count,System Type,Result,Result at System Name
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,gptj-99.9,Server,Tokens/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,14846.7,14846.7
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,3d-unet-99.9,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4921.335897436,4921.335897436
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-interactive-99.9,Server,Queries/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,11041.5,11041.5
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-99,Server,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4994.261098039,4994.261098039
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,rgat,Offline,Samples/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,70313,70313
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-interactive-99,Server,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4958.158873457,4958.158873457
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,mixtral-8x7b,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4969.955,4969.955
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,retinanet,Offline,Samples/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,11106.2,11106.2
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,llama2-70b-interactive-99.9,Offline,Watts,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,4852.332482683,4852.332482683
5.0-0023,Fujitsu,available,PRIMERGY CDI (8x H100NVL TensorRT),1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,8,Inference,3d-unet-99,Offline,Samples/s,,Closed - Power,Ubuntu 24.04,TensorRT 10.8 CUDA 12.8,Datacenter,v5.0,closed,Closed,TRUE,32,datacenter,44.5807,44.5807
